title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,url,categoryName,categories/5,categories/6,categories/7,categories/8,categories/9,imageUrl
Sandwich Attack,4.6,585.0,"Jl. Taman Hiburan No.5, RT.003/RW.006",Kota Tangerang,Banten,ID,,,Kedai Kopi,Tempat Cukur Rambut,Kafe,Toko Pakaian,Rumah Makan,https://www.google.com/maps/search/?api=1&query=Sandwich%20Attack&query_place_id=ChIJjUUSaNT4aS4RYR5IDZZhQH4,Kedai Kopi,Toko Es Krim,Toko Musik,Kios Sandwich,,,
Nasi Jagal Kali Bayur,4.5,2016.0,"RJR7+2MJ, RT.002/RW.001",Kota Tangerang,Banten,ID,,,Restoran Sajian Khusus Daging,,,,,https://www.google.com/maps/search/?api=1&query=Nasi%20Jagal%20Kali%20Bayur&query_place_id=ChIJ0Zkrq0f_aS4RIXkz4V4rMFc,Restoran Sajian Khusus Daging,,,,,,
Lieben Cafe Cimone,4.3,920.0,"Jl. Raya Merdeka, RT.04/RW.01, Pabuaran, RT.001/RW.001",Kota Tangerang,Banten,ID,,+62 821-9000-3256,Kedai Kopi,,,,,https://www.google.com/maps/search/?api=1&query=Lieben%20Cafe%20Cimone&query_place_id=ChIJYfgB3rr_aS4RfW38J_AEy5Q,Kedai Kopi,,,,,,
Hotel Novotel Tangerang,4.6,12166.0,"Tangcity Superblock, Jl. Jenderal Sudirman No.1, RT.001/RW.005",Kota Tangerang,Banten,ID,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=7234&merchantid=seo-maps-ID-7234&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,+62 21 29679999,Hotel,,,,,https://www.google.com/maps/search/?api=1&query=Hotel%20Novotel%20Tangerang&query_place_id=ChIJ4ZHg3yX5aS4RiuJOaYvD0PM,Hotel,,,,,,
Saung Engkong,4.7,523.0,"Jl. A. Damyati No.11, RT.006/RW.003",Kota Tangerang,Banten,ID,https://www.instagram.com/saungengkong.id?igsh=MTI3bjFpZjdid2Voag==,+62 878-3158-8055,Restoran,Restoran Seafood,,,,https://www.google.com/maps/search/?api=1&query=Saung%20Engkong&query_place_id=ChIJdUWyRar5aS4RdU8995rnvJk,Restoran,,,,,,
Ichiraku Ramen,4.7,1289.0,"Jl. Kisamaun No.168, RT.001/RW.007",Kota Tangerang,Banten,ID,,+62 811-8257-880,Restoran Jepang,Restoran Ramen,,,,https://www.google.com/maps/search/?api=1&query=Ichiraku%20Ramen&query_place_id=ChIJdV5jmyr5aS4R6NlCd2-XJjc,Restoran Jepang,,,,,,
Math Coffee and Resto,4.6,700.0,"Nomor Jl. Taman Makam Pahlawan Taruna No.25, RT.001/RW.001",Kota Tangerang,Banten,ID,,,Kafe,Kedai Kopi,,,,https://www.google.com/maps/search/?api=1&query=Math%20Coffee%20and%20Resto&query_place_id=ChIJ6byq1df4aS4RINhJkwyxKOI,Kafe,,,,,,
Starbucks Tangcity,4.6,841.0,"Jl. Jenderal Sudirman No.1, RT.001/RW.005",Kota Tangerang,Banten,ID,,+62 21 59729629,Kedai Kopi,Kafe,,,,https://www.google.com/maps/search/?api=1&query=Starbucks%20Tangcity&query_place_id=ChIJczWGAyD5aS4RdeVbFpIFAR4,Kedai Kopi,,,,,,
Nasi Timbel Khas Cianjur,4.6,727.0,"Jl. Perintis Kemerdekaan No.2, RT.001/RW.001",Kota Tangerang,Banten,ID,,+62 856-7722-133,Restoran Sunda,,,,,https://www.google.com/maps/search/?api=1&query=Nasi%20Timbel%20Khas%20Cianjur&query_place_id=ChIJJb15CCz5aS4ReFMTAfIionk,Restoran Sunda,,,,,,
KAWASAN KULINER LAKSA KHAS TANGERANG,4.4,6529.0,"Jl. Mochammad Yamin No.113, RT.001/RW.004",Kota Tangerang,Banten,ID,http://www.kulinerlaksa.co.id/,+62 813-1497-4321,Restoran Indonesia,Pujasera,,,,https://www.google.com/maps/search/?api=1&query=KAWASAN%20KULINER%20LAKSA%20KHAS%20TANGERANG&query_place_id=ChIJVe6W1i_5aS4RGHiJ99oMoIs,Restoran Indonesia,,,,,,
"Gereja Katolik Paroki Hati Santa Perawan Maria Tak Bernoda, Tangerang",4.8,1573.0,"Gereja Katolik Hati Santa Perawan Maria, Jl. Daan Mogot No.14, RT.005/RW.005",Kota Tangerang,Banten,ID,https://santamaria.or.id/,+62 21 5523169,Gereja Katolik,,,,,https://www.google.com/maps/search/?api=1&query=Gereja%20Katolik%20Paroki%20Hati%20Santa%20Perawan%20Maria%20Tak%20Bernoda%2C%20Tangerang&query_place_id=ChIJ1_GVydL4aS4R41b1KMR2Dws,Gereja Katolik,,,,,,
Mixmi Tangerang,4.6,1805.0,"Jl. Kh. Soleh Ali No.5, RT.002/RW.015",Kota Tangerang,Banten,ID,,+62 812-2123-1992,Restoran Indonesia,Kafe,,,,https://www.google.com/maps/search/?api=1&query=Mixmi%20Tangerang&query_place_id=ChIJiwYRMNT4aS4RyCTSg2Baows,Restoran Indonesia,,,,,,
Eastern Kopi TM,4.4,1264.0,"Ruko Shopping Arcade, Jl. Hartono Raya No.22, RT.003/RW.006",Kota Tangerang,Banten,ID,,+62 21 55781721,Restoran China,Kedai Kopi,,,,https://www.google.com/maps/search/?api=1&query=Eastern%20Kopi%20TM&query_place_id=ChIJaUGLHjH5aS4RyvFluJ5rnXo,Restoran China,,,,,,
Pondok Sate Tegal Ibu Rita,4.5,737.0,"Jl. Gatot Subroto No.5, RT.002/RW.001",Kota Tangerang,Banten,ID,,+62 812-8827-2326,Restoran Sate,,,,,https://www.google.com/maps/search/?api=1&query=Pondok%20Sate%20Tegal%20Ibu%20Rita&query_place_id=ChIJucxUXvv-aS4RPzcVNf3I4tU,Restoran Sate,,,,,,
Pasar Induk Tangerang,4.3,3912.0,"Jl. Jend. Sudirman No.10-11 Blok A, RT.004/RW.013",Kota Tangerang,Banten,ID,http://www.paskomnas.com/,,Pasar,Toko Organik,,,,https://www.google.com/maps/search/?api=1&query=Pasar%20Induk%20Tangerang&query_place_id=ChIJkfhFJNv4aS4Rx4SfN2Do7mU,Pasar,,,,,,
WARUNG SATE BAROKAH BANG H. WAHAB,4.6,1208.0,"Jl. Imam Bonjol No.79, RT.002/RW.001",Kota Tangerang,Banten,ID,,+62 878-8293-4870,Restoran Sate,,,,,https://www.google.com/maps/search/?api=1&query=WARUNG%20SATE%20BAROKAH%20BANG%20H.%20WAHAB&query_place_id=ChIJWUINhM7-aS4RFlW5DkaWYYo,Restoran Sate,,,,,,
Sup Durian DOR!,4.4,1222.0,"Jl. Kh. Soleh Ali No.48, RT.003/RW.015",Kota Tangerang,Banten,ID,http://www.instagram.com/supduriandor,+62 822-1112-2164,Restoran Sup,Kedai Hidangan Penutup,,,,https://www.google.com/maps/search/?api=1&query=Sup%20Durian%20DOR!&query_place_id=ChIJSwVu29X4aS4RpCuTf1H7jgA,Restoran Sup,,,,,,
Roti Bakar 88 Pasar Lama,4.4,2713.0,"Jl. Kisamaun No.118, RT.003/RW.004",Kota Tangerang,Banten,ID,,+62 816-1180-747,Kafe,Kedai Kopi,,,,https://www.google.com/maps/search/?api=1&query=Roti%20Bakar%2088%20Pasar%20Lama&query_place_id=ChIJ2zttVir5aS4R1uUH_mcGqxE,Kafe,,,,,,
TELAGA SEAFOOD MODERNLAND,4.4,2730.0,"Jalan Pulau Putri Raya Kav 1 No 1 Modernland Tangerang, Jl. Pulau Putri Raya No.1 Blok A1 No, RT.005/RW.003",Kota Tangerang,Banten,ID,,+62 21 5529959,Restoran Seafood,,,,,https://www.google.com/maps/search/?api=1&query=TELAGA%20SEAFOOD%20MODERNLAND&query_place_id=ChIJTZUrtDb5aS4RD1UMrbLU7OE,Restoran Seafood,,,,,,
Bambu Oju Seafood and Resto,4.2,3667.0,"Jl. Marsekal Suryadarma No.82, RT.002/RW.006",Kota Tangerang,Banten,ID,,,Restoran,,,,,https://www.google.com/maps/search/?api=1&query=Bambu%20Oju%20Seafood%20and%20Resto&query_place_id=ChIJhVQKdrL4aS4R15BZyiqS0ao,Restoran,,,,,,
Taman Bambu (Bamboo Park),4.5,1284.0,"RJ4J+9W2, RT.007/RW.003",Kota Tangerang,Banten,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Bambu%20(Bamboo%20Park)&query_place_id=ChIJo0VM9DL5aS4ROra6P9weulY,Taman,,,,,,
Waroeng Steak & Shake Kisamaun,4.3,3572.0,"Jl. Kisamaun No.162, RT.004/RW.007",Kota Tangerang,Banten,ID,http://www.waroengsteakandshake.com/,,Restoran Steak,Restoran cepat saji,,,,https://www.google.com/maps/search/?api=1&query=Waroeng%20Steak%20%26%20Shake%20Kisamaun&query_place_id=ChIJI5lcYNX4aS4R17JruNOkVYM,Restoran Steak,,,,,,
Cafe 21 Tangerang,4.5,541.0,"Jl. Benteng Jaya No.22, RT.004/RW.005",Kota Tangerang,Banten,ID,,+62 21 5583748,Restoran Seafood,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%2021%20Tangerang&query_place_id=ChIJA2RQtDL_aS4RKWR09uBbU0c,Restoran Seafood,,,,,,
D'jajan Seafood Kisamaun Selatan,4.7,1817.0,"Jl. Kisamaun No.165, Pasar Lama, Banten, RT.002/RW.005",Kota Tangerang,Banten,ID,,+62 852-1137-4433,Restoran Seafood,,,,,https://www.google.com/maps/search/?api=1&query=D'jajan%20Seafood%20Kisamaun%20Selatan&query_place_id=ChIJE8vibOn5aS4R6q1Zr2UHuzU,Restoran Seafood,,,,,,
Es Oyen Macan - Pasar Lama,4.5,772.0,"Jl. Kisamaun No.133, RT.001/RW.007",Kota Tangerang,Banten,ID,,+62 851-1758-1326,Restoran Hidangan Penutup,Restoran,,,,https://www.google.com/maps/search/?api=1&query=Es%20Oyen%20Macan%20-%20Pasar%20Lama&query_place_id=ChIJ3wuBCSD5aS4RJe9WEX_nO6k,Restoran Hidangan Penutup,,,,,,
Pasar Anyar Tangerang,4.3,11930.0,"Jl. Jend. Ahmad Yani, RT.002/RW.004",Kota Tangerang,Banten,ID,,,Pasar,Pusat Perbelanjaan,,,,https://www.google.com/maps/search/?api=1&query=Pasar%20Anyar%20Tangerang&query_place_id=ChIJkcB9ZNH4aS4RmwtenJNxcVQ,Pasar,,,,,,
Toko Kopi TUKU - Pasar Lama,4.5,639.0,"Jl. Kalipasir Indah No.201, RT.002/RW.007",Kota Tangerang,Banten,ID,https://instagram.com/tokokopituku?utm_medium=copy_link,+62 812-8451-9734,Kedai Kopi,,,,,https://www.google.com/maps/search/?api=1&query=Toko%20Kopi%20TUKU%20-%20Pasar%20Lama&query_place_id=ChIJZ-TIw0L5aS4R6hshYSLIQSQ,Kedai Kopi,,,,,,
Restoran Sederhana M Thoha,4.5,1248.0,"Jl. Moh. Toha No.KM. 2 No. 25, RT.001/RW.008",Kota Tangerang,Banten,ID,http://www.restoransederhana.id/,+62 21 5517903,Restoran Padang,Kedai Sarapan,Restoran Keluarga,,,https://www.google.com/maps/search/?api=1&query=Restoran%20Sederhana%20M%20Thoha&query_place_id=ChIJAUke9Dz_aS4Rq0jvc3z9vl0,Restoran Padang,,,,,,
Sambel Gledeg Galeong Ibu Siti Nurkhotimah,4.3,1176.0,"Jl. Galeong No.9B, RT.003/RW.007",Kota Tangerang,Banten,ID,,+62 21 55723898,Rumah Makan,Restoran Sunda,,,,https://www.google.com/maps/search/?api=1&query=Sambel%20Gledeg%20Galeong%20Ibu%20Siti%20Nurkhotimah&query_place_id=ChIJ8Yg4nCT_aS4REidRqV4jgFw,Rumah Makan,,,,,,
Rumah Makan Pondok Lauk,4.5,4281.0,"Jl. Baharuddin Jl. Kebon Jahe No.50/32, RT.004/RW.001",Kota Tangerang,Banten,ID,http://www.pondoklauk.com/,+62 858-9088-8207,Restoran Seafood,Restoran Indonesia,,,,https://www.google.com/maps/search/?api=1&query=Rumah%20Makan%20Pondok%20Lauk&query_place_id=ChIJHTVPVNL4aS4R7UNn51kptHA,Restoran Seafood,,,,,,
Soto Betawi H. Mamat Gading Serpong,4.6,888.0,"Perumahan, Gading Serpong, Jl. Boulevard Raya Gading Serpong No.1 Blok AA 4",Kabupaten Tangerang,Banten,ID,,+62 21 54210970,Restoran soto,,,,,https://www.google.com/maps/search/?api=1&query=Soto%20Betawi%20H.%20Mamat%20Gading%20Serpong&query_place_id=ChIJl9CPstL7aS4RkNY-oRRFII4,Restoran soto,,,,,,
Sop Mak Garang - Tangerang,4.9,4187.0,"RJ9Q+V24, Jl. Sukamanah V, RT.003/RW.014",Kota Tangerang,Banten,ID,https://www.instagram.com/sop.makgarang/,+62 858-8885-4704,Restoran Indonesia,,,,,https://www.google.com/maps/search/?api=1&query=Sop%20Mak%20Garang%20-%20Tangerang&query_place_id=ChIJ1xq6etr5aS4Rn-BvtwK5Gq8,Restoran Indonesia,,,,,,
Amsterdam Waterpark,4.3,5415.0,"Villa Tomang Baru Square, Jl. Villa Tomang Baru No.1",Kabupaten Tangerang,Banten,ID,,+62 21 5924434,Taman Rekreasi Air,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Amsterdam%20Waterpark&query_place_id=ChIJZ1VVVbj_aS4RrjiP_Hg3M7o,Taman Rekreasi Air,,,,,,
Seafood Kepiting Montok New & Gubuk Sunda,4.5,887.0,"Jl. Ks. Tubun No.37/29, RT.002/RW.002",Kota Tangerang,Banten,ID,,+62 812-3487-8389,Rumah Makan,,,,,https://www.google.com/maps/search/?api=1&query=Seafood%20Kepiting%20Montok%20New%20%26%20Gubuk%20Sunda&query_place_id=ChIJIzHO2qT_aS4ROIy4Kgp13aY,Rumah Makan,,,,,,
Restoran Simpang Raya - Km 13,4.4,1075.0,"Rest Area Km 13, Jl. Tol Jkt - Tangerang, RT.001/RW.007",Kota Tangerang,Banten,ID,,+62 21 73441202,Restoran Padang,Restoran,,,,https://www.google.com/maps/search/?api=1&query=Restoran%20Simpang%20Raya%20-%20Km%2013&query_place_id=ChIJAfNYOrX-aS4ROD58DXAARIE,Restoran Padang,,,,,,
"Spesial Soto Boyolali (SSB) Hj. Hesti, Cabang Tangerang Kota",4.6,1367.0,RT.003/RW.004,Kota Tangerang,Banten,ID,http://ssbhjhestiwidodo.com/,+62 811-2650-705,Restoran soto,,,,,https://www.google.com/maps/search/?api=1&query=Spesial%20Soto%20Boyolali%20(SSB)%20Hj.%20Hesti%2C%20Cabang%20Tangerang%20Kota&query_place_id=ChIJG50A9rz5aS4RvyH_TEfBYh4,Restoran soto,,,,,,
SOP djanda Cimone,4.6,856.0,"Jl. Raya Merdeka, RT.002/RW.004",Kota Tangerang,Banten,ID,,+62 821-2419-3566,Rumah Makan,,,,,https://www.google.com/maps/search/?api=1&query=SOP%20djanda%20Cimone&query_place_id=ChIJ3cXYpBP_aS4RAN6CvnT0PwQ,Rumah Makan,,,,,,
Steak 21 Tangerang City Mall,4.5,1304.0,"Tangerang City Mall Jalan Jendral Sudirman.1 Lantai GF Blok D 25, RT.001/RW.005",Kota Tangerang,Banten,ID,https://steak21.id/,+62 21 29309821,Restoran Steak,,,,,https://www.google.com/maps/search/?api=1&query=Steak%2021%20Tangerang%20City%20Mall&query_place_id=ChIJPfaVPTL5aS4RuTEb0pirqxc,Restoran Steak,,,,,,
Pizza Hut Restoran - Daan Mogot Tangerang,4.6,4446.0,"Jl. Daan Mogot No.49, RT.002/RW.001",Kota Tangerang,Banten,ID,https://www.pizzahut.co.id/,+62 1 500 600,Restoran Pizza,Restoran,,,,https://www.google.com/maps/search/?api=1&query=Pizza%20Hut%20Restoran%20-%20Daan%20Mogot%20Tangerang&query_place_id=ChIJ-ewMns34aS4RCnfrH2OOeDI,Restoran Pizza,,,,,,
Seafood Serasa di Bali,4.8,516.0,"Jl. Kisamaun No.175/179, RT.001/RW.007",Tangerang kota,Banten,ID,,+62 895-3214-65068,Restoran Seafood,,,,,https://www.google.com/maps/search/?api=1&query=Seafood%20Serasa%20di%20Bali&query_place_id=ChIJ74AWthv5aS4Rm2GSW1sX4-g,Restoran Seafood,,,,,,
Warung Surabaya Cak Hazy,4.7,1123.0,"Jl. DR. Sitanala No.16, RT.001/RW.003",Kota Tangerang,Banten,ID,,+62 813-1015-1049,Restoran Jawa Timur,,,,,https://www.google.com/maps/search/?api=1&query=Warung%20Surabaya%20Cak%20Hazy&query_place_id=ChIJw-jAi7X4aS4RGII-0NGpx88,Restoran Jawa Timur,,,,,,
WAROENG SAMBAL BAKAR BABAKAN,4.4,1090.0,"Jl. Perintis Kemerdekaan, RT.003/RW.003",Kota Tangerang,Banten,ID,,+62 822-1076-6221,Restoran,,,,,https://www.google.com/maps/search/?api=1&query=WAROENG%20SAMBAL%20BAKAR%20BABAKAN&query_place_id=ChIJ5bUZ1mf5aS4RjW4hJvBFZiE,Restoran,,,,,,
"Depot ""Sami Asih 1"" Surabaya",4.4,2114.0,"Jl. Oto Iskandardinata No.9, RT.001/RW.007",Kota Tangerang,Banten,ID,https://samiasih.com/,+62 822-1148-3221,Restoran Jawa,Restoran Indonesia,,,,https://www.google.com/maps/search/?api=1&query=Depot%20%22Sami%20Asih%201%22%20Surabaya&query_place_id=ChIJqznJ-S3_aS4RvYseDvnv-Ek,Restoran Jawa,,,,,,
PONDOK SATE JOGJA H OEMAR HANA,4.5,628.0,"Ruko The Modern Arcade, Jl. Hartono Raya No. 5A Metropolis, RT.003/RW.006",Kota Tangerang,Banten,ID,,+62 21 55781563,Restoran Sate,,,,,https://www.google.com/maps/search/?api=1&query=PONDOK%20SATE%20JOGJA%20H%20OEMAR%20HANA&query_place_id=ChIJKyy60TD5aS4R8CpC1JgHKZk,Restoran Sate,,,,,,
Sop Durian Teh Mela,4.7,2429.0,"Jl. Prabu Kian Santang, RT.005/RW.015",Kota Tangerang,Banten,ID,,+62 878-0886-6944,Restoran,,,,,https://www.google.com/maps/search/?api=1&query=Sop%20Durian%20Teh%20Mela&query_place_id=ChIJacABaP3-aS4RcvmOFXR4m5I,Restoran,,,,,,
NEWTOWN WATERPARK,4.6,3241.0,"Jl. Moh. Toha No.2, RT.001/RW.002",Kota Tangerang,Banten,ID,https://newtownwaterpark.id/,+62 878-8887-2888,Taman Rekreasi Air,Kolam Renang,,,,https://www.google.com/maps/search/?api=1&query=NEWTOWN%20WATERPARK&query_place_id=ChIJ6dhOcXz_aS4R0i_Dwa21a0k,Taman Rekreasi Air,,,,,,
Loteng Cafe Modernland,4.9,1426.0,"Jl. Hartono Raya, RT.001/RW.006",Kota Tangerang,Banten,ID,https://linktr.ee/lotengcafemodernland,+62 815-1413-4674,Kedai Kopi,Kafe,,,,https://www.google.com/maps/search/?api=1&query=Loteng%20Cafe%20Modernland&query_place_id=ChIJK8B5qV75aS4RxxhzFerHcKA,Kedai Kopi,,,,,,
I Am Geprek Bensu Sangiang jaya,4.3,919.0,"RHGX+XQG, Jl. Prabu Kian Santang, RT.003/RW.001",Kota Tangerang,Banten,ID,,,Restoran Masakan Ayam,,,,,https://www.google.com/maps/search/?api=1&query=I%20Am%20Geprek%20Bensu%20Sangiang%20jaya&query_place_id=ChIJla6FqKz_aS4R-pZbT32diXs,Restoran Masakan Ayam,,,,,,
HokBen Tangerang Kota,4.3,2837.0,"Jalan Daan Mogot.62E & 62F, RT.01/RW.04",Kota Tangerang,Banten,ID,,+62 811-1150-0505,Restoran Jepang,Restoran cepat saji,,,,https://www.google.com/maps/search/?api=1&query=HokBen%20Tangerang%20Kota&query_place_id=ChIJb2qkTsz4aS4R75dm9Lx1MU0,Restoran Jepang,,,,,,
Es'eS Cendol Duren & Seafood Laut Nusantara,4.3,691.0,"Griya Sangiang Mas, Jl. Anggrek No.7 Blok EA8, RT.001/RW.007",Kota Tangerang,Banten,ID,,,Restoran,,,,,https://www.google.com/maps/search/?api=1&query=Es'eS%20Cendol%20Duren%20%26%20Seafood%20Laut%20Nusantara&query_place_id=ChIJqb-h_bb_aS4R9g4eg7iR88s,Restoran,,,,,,
Bubur Ayam Special ”Keluarga” Alex,4.7,578.0,"Nomor Karawaci, Jl. Imam Bonjol No.58, RT.002/RW.004",Kota Tangerang,Banten,ID,,,Restoran Bubur,,,,,https://www.google.com/maps/search/?api=1&query=Bubur%20Ayam%20Special%20%E2%80%9DKeluarga%E2%80%9D%20Alex&query_place_id=ChIJ9Y_pt9P-aS4RpRwreRzeDDg,Restoran Bubur,,,,,,
Masjid Agung Nurul Yaqin (Masjid Pintu Seribu) Tangerang,4.4,1028.0,"VJ25+59H, Jl. Kampung Bayur, RT.003/RW.004",Kota Tangerang,Banten,ID,,,Masjid,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Masjid%20Agung%20Nurul%20Yaqin%20(Masjid%20Pintu%20Seribu)%20Tangerang&query_place_id=ChIJ11vqRVn_aS4RruGA5K8QPkw,Masjid,,,,,,
Ayam Penyet Surabaya marsekal,4.3,940.0,"Jl. Marsekal Suryadarma No.33, RT.001/RW.006",Kota Tangerang,Banten,ID,,+62 811-6107-617,Restoran ayam penyet,Restoran Masakan Ayam,Restoran Jawa,,,https://www.google.com/maps/search/?api=1&query=Ayam%20Penyet%20Surabaya%20marsekal&query_place_id=ChIJW8EiTrL4aS4RmTcUQB4Ebh0,Restoran ayam penyet,,,,,,
Sogogi Shabu & Grill Pasar Lama,4.8,1900.0,"Jl. Kisamaun No.149, RT.003/RW.005",Kota Tangerang,Banten,ID,,+62 812-8899-9548,Restoran Korea,,,,,https://www.google.com/maps/search/?api=1&query=Sogogi%20Shabu%20%26%20Grill%20Pasar%20Lama&query_place_id=ChIJHZ7I3675aS4RoZpvDWZllUo,Restoran Korea,,,,,,
Tropikana Waterpark Cimone,4.1,1597.0,"Jl. Raya Merdeka No.51, RT.002/RW.001",Kota Tangerang,Banten,ID,,,Taman Rekreasi Air,,,,,https://www.google.com/maps/search/?api=1&query=Tropikana%20Waterpark%20Cimone&query_place_id=ChIJqWTtHsj_aS4ReFZ2a0jLCdM,Taman Rekreasi Air,,,,,,
Funpark permata waterboom,4.4,4847.0,Jalan Raya Regency II Blok BG,Kabupaten Tangerang,Banten,ID,https://www.instagram.com/funpark_permata_tangerang/,+62 821-2335-6665,Kolam Renang Umum,Taman bermain,Klub Renang,Kolam Renang,Tujuan Wisata,https://www.google.com/maps/search/?api=1&query=Funpark%20permata%20waterboom&query_place_id=ChIJtyT2A6H_aS4RCqE2Y1oxm8E,Kolam Renang Umum,,,,,,
Pondok Bakso Mas Boy Solo,4.6,762.0,"Jl. Ir. Sutami No.1, RT.002/RW.001",Kota Tangerang,Banten,ID,,+62 818-0877-9027,Restoran Bakso,,,,,https://www.google.com/maps/search/?api=1&query=Pondok%20Bakso%20Mas%20Boy%20Solo&query_place_id=ChIJIZIsGdb4aS4RO6WjmJfejME,Restoran Bakso,,,,,,
Almaz Fried Chicken - Karawaci,4.8,730.0,"Jl. Beringin Raya No. 25A Blok 28, RT. 007 / RW. 002, Karawaci Baru Karawaci, Tangerang City, Banten, RT.007/RW.002",Jakarta,Daerah Khusus Ibukota Jakarta,ID,,,Restoran,,,,,https://www.google.com/maps/search/?api=1&query=Almaz%20Fried%20Chicken%20-%20Karawaci&query_place_id=ChIJLefciJz_aS4RsGClaFWICcQ,Restoran,,,,,,
Kolam Renang Puri Beta 1,4.2,4838.0,"Puri Beta Town Center, Jl. Puri Beta No.52, RT.004/RW.012",Kota Tangerang,Banten,ID,http://www.puribeta.com/index.php?option=com_contact&view=contact&id=1&Itemid=73,+62 21 5861143,Kolam Renang Umum,Taman Hiburan,,,,https://www.google.com/maps/search/?api=1&query=Kolam%20Renang%20Puri%20Beta%201&query_place_id=ChIJzZ3DZqjwaS4RV-7BU05sBYM,Kolam Renang Umum,,,,,,
"Sambal Bakar Indonesia, Pasar Lama",4.8,13041.0,"Jl. Veteran No.12, RT.001/RW.002",Kota Tangerang,Banten,ID,https://www.sambalbakarindonesia.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1938967320215491920,+62 812-4684-8157,Restoran,,,,,https://www.google.com/maps/search/?api=1&query=Sambal%20Bakar%20Indonesia%2C%20Pasar%20Lama&query_place_id=ChIJZ8CENtb5aS4RlLGGjYluePU,Restoran,,,,,,
Taman Eco Park,4.5,787.0,"Jl. Pintu Bar. Air No.41, RT.001/RW.003",Kota Tangerang,Banten,ID,,,Taman,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Taman%20Eco%20Park&query_place_id=ChIJ0-vdWMr4aS4RwJmqxf5a7u8,Taman,,,,,,
Marcopolo Waterpark,3.9,793.0,"Jalan Kampung No.58 Panunggangan Utara Pinang RT 007, RT.007/RW.001",Kota Tangerang,Banten,ID,,+62 895-3839-20884,Taman Rekreasi Air,Tujuan Wisata,,,,https://www.google.com/maps/search/?api=1&query=Marcopolo%20Waterpark&query_place_id=ChIJgXd7qlX5aS4RhdOWfAX625o,Taman Rekreasi Air,,,,,,
Tandon Ciater - Kota Tangerang Selatan,4.3,7374.0,,Tangerang,Banten,ID,,,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Tandon%20Ciater%20-%20Kota%20Tangerang%20Selatan&query_place_id=ChIJwVWp3BPlaS4Rv_47SXomSOI,Tujuan Wisata,,,,,,
Bakso Jono Mukti,4.5,2310.0,"Jl. Daan Mogot No.46, RT.002/RW.006",Kota Tangerang,Banten,ID,,+62 877-7411-7302,Restoran Bakso,,,,,https://www.google.com/maps/search/?api=1&query=Bakso%20Jono%20Mukti&query_place_id=ChIJHeU7dc34aS4RnvVByFroYi0,Restoran Bakso,,,,,,
Rumah Makan Nyi Bara,4.7,867.0,"Jl. Kh. Soleh Ali No.6 rt 01/06, RT.002/RW.002",Kota Tangerang,Banten,ID,,,Rumah Makan,,,,,https://www.google.com/maps/search/?api=1&query=Rumah%20Makan%20Nyi%20Bara&query_place_id=ChIJA9eEOSj5aS4RzfklnjYCNnw,Rumah Makan,,,,,,
Warung Makan Echo Ayam Bakar,4.5,636.0,"Jl. Kh. Soleh Ali No.99, RT.002/RW.011",Kota Tangerang,Banten,ID,,+62 21 5522707,Restoran Masakan Ayam,Restoran Betawi,Kedai Sarapan,Restoran Keluarga,Restoran Jawa,https://www.google.com/maps/search/?api=1&query=Warung%20Makan%20Echo%20Ayam%20Bakar&query_place_id=ChIJzTDLPtT4aS4RnuhhdmqtBhk,Restoran Masakan Ayam,,,,,,
Bopet Bagindo Tangerang,4.0,547.0,"Jl. Satria - Sudirman No.21, RT.002/RW.001, Sukaasih, Kec. Tangerang, RT.001/RW.001",Kota Tangerang,Banten,ID,http://linkfly.to/70207zaa59,+62 851-6353-9788,Restoran Padang,,,,,https://www.google.com/maps/search/?api=1&query=Bopet%20Bagindo%20Tangerang&query_place_id=ChIJ30ZdNrj5aS4Rfo77w1Yd4bA,Restoran Padang,,,,,,
Pantai Pasir Putih PIK2,4.3,3274.0,,Kota Tangerang,Banten,ID,,,Tujuan Wisata,,,,,https://www.google.com/maps/search/?api=1&query=Pantai%20Pasir%20Putih%20PIK2&query_place_id=ChIJvWBsq9IDai4R1VjENazLUuw,Tujuan Wisata,,,,,,
Pantai Tanjung Pasir,4.0,6694.0,,,,,,,Pantai,,,,,https://www.google.com/maps/search/?api=1&query=Pantai%20Tanjung%20Pasir&query_place_id=ChIJH2AanQEFai4Rvq5KtmZ4Aco,Pantai,,,,,,
